Links to Proxy Access Bylaws
(September 2017)
Company	Link
Eastman Chemical Company 	https://www.sec.gov/Archives/edgar/data/915389/000091538916000085/exhibit30120160219amendmen.htm
United Continental Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/100517/000119312516470069/d147577dex31.htm
Whiting Petroleum Corporation 	https://www.sec.gov/Archives/edgar/data/1255474/000119312516470712/d146730dex31.htm
Chemed Corporation	https://www.sec.gov/Archives/edgar/data/19584/000115752316004649/a51282882ex3_1.htm
ITT Corporation	https://www.sec.gov/Archives/edgar/data/216228/000021622816000080/ex31amendedandrestatedby-l.htm
Fiserv, Inc.	https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/ex3212312015.htm
Kellogg Company	https://www.sec.gov/Archives/edgar/data/55067/000162828016011536/k-201622331.htm
Zoetis Inc.	https://www.sec.gov/Archives/edgar/data/1555280/000155528016000305/ex31zoetisbylawsar2016.htm
Ryder System, Inc.	https://www.sec.gov/Archives/edgar/data/85961/000008596116000085/exhibit32bylaws.htm
Domtar Corporation	https://www.sec.gov/Archives/edgar/data/1381531/000119312516475976/d281981dex31.htm
Amazon.com, Inc.	https://www.sec.gov/Archives/edgar/data/1018724/000101872416000206/amzn-20160225xex32.htm
Marathon Petroleum Corporation	https://www.sec.gov/Archives/edgar/data/1510295/000151029516000083/amendedandrestatedbylaws-e.htm
Unum Group	https://www.sec.gov/Archives/edgar/data/5513/000119312516482128/d149680dex31.htm
Cerner Corporation	https://www.sec.gov/Archives/edgar/data/804753/000080475316000063/amendedandrestatedbylaws.htm
Edwards Lifesciences Corporation 	http://www.sec.gov/Archives/edgar/data/1099800/000109980016000046/ewexhibit31bylaws.htm
Quest Diagnostics Incorporated	https://www.sec.gov/Archives/edgar/data/1022079/000102207916000216/exhibit31.htm
Xylem Inc.	https://www.sec.gov/Archives/edgar/data/1524472/000119312516478121/d142796dex31.htm
Kansas City Southern	https://www.sec.gov/Archives/edgar/data/54480/000119312516487029/d140837dex31.htm
Macy’s, Inc.	https://www.sec.gov/Archives/edgar/data/794367/000079436716000279/esexhibit3.htm
Range Resources Corporation	https://www.sec.gov/Archives/edgar/data/315852/000119312516488210/d140904dex31.htm
Avon Products, Inc.	http://www.sec.gov/Archives/edgar/data/8868/000119312516495414/d149927dex33.htm
The Home Depot, Inc.	http://www.sec.gov/Archives/edgar/data/354950/000035495016000058/hd_exx32x03022016.htm
General Motors Company	http://www.sec.gov/Archives/edgar/data/1467858/000146785816000298/ex-31x03082016bylaws.htm
The Mosaic Company	https://www.sec.gov/Archives/edgar/data/1285785/000124378616000222/amendedandrestatedbylaws.htm
FedEx Corporation	http://www.sec.gov/Archives/edgar/data/1048911/000110465916103022/a16-5911_1ex3d2.htm
iRobot Corporation 	https://www.sec.gov/Archives/edgar/data/1159167/000115916716000066/exhibit32-markedamendedres.htm
General Mills, Inc.	http://www.sec.gov/Archives/edgar/data/40704/000129993316002153/exhibit1.htm
American Airlines Group Inc.	https://www.sec.gov/Archives/edgar/data/6201/000119312516498643/d140274dex32.htm
Express Scripts Holding Company	https://www.sec.gov/Archives/edgar/data/1532063/000119312516500084/d144839dex31.htm
Roper Technologies, Inc.	https://www.sec.gov/Archives/edgar/data/882835/000095010316011836/dp64200_ex0302.htm
National Fuel Gas Company 	https://www.sec.gov/Archives/edgar/data/70145/000119312516506366/d139175dex31.htm
Splunk Inc.	https://www.sec.gov/Archives/edgar/data/1353283/000110465916104540/a16-6208_1ex3d1.htm
Allison Transmission Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1411207/000119312516502313/d160184dex31.htm
Omnicom Group Inc.	https://www.sec.gov/Archives/edgar/data/29989/000089109216013237/e68734ex3-1.htm
CIT Group Inc.	https://www.sec.gov/Archives/edgar/data/1171825/000089109216013357/e68781ex3-1.htm
eBay Inc.	https://www.sec.gov/Archives/edgar/data/1065088/000106508816000279/exhibit31amendedandrestate.htm
Monster Worldwide, Inc.	https://www.sec.gov/Archives/edgar/data/1020416/000102041616000132/exhibit32.htm
Lowe’s Companies, Inc.	https://www.sec.gov/Archives/edgar/data/60667/000006066716000272/exhibit31.htm
The Brink’s Company	https://www.sec.gov/Archives/edgar/data/78890/000007889016000076/exhibit3iiamendedandrestat.htm
Amphenol Corporation	https://www.sec.gov/Archives/edgar/data/820313/000110465916106811/a16-7000_1ex3d1.htm
salesforce.com, Inc.	http://www.sec.gov/Archives/edgar/data/1108524/000119312516512011/d144276dex32.htm
SL Green Realty Corp.	https://www.sec.gov/Archives/edgar/data/1040971/000110465916107144/a16-6826_2ex3d1.htm
Raytheon Company	https://www.sec.gov/Archives/edgar/data/1047122/000119312516520100/d254400dex31.htm
Yahoo! Inc.	https://www.sec.gov/Archives/edgar/data/1011006/000119312516523724/d166909dex32.htm
Equinix, Inc.	https://www.sec.gov/Archives/edgar/data/1101239/000119312516521409/d156033dex31.htm
The Procter & Gamble Company 	https://www.sec.gov/Archives/edgar/data/80424/000008042416000175/pgregulations.htm
Leidos Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/353394/000133692016000081/leidosbylaws.htm
NETGEAR, Inc.	https://www.sec.gov/Archives/edgar/data/1122904/000112290416000172/ntgr20160420ex_32.htm
The Macerich Company	http://www.sec.gov/Archives/edgar/data/912242/000110465916114209/a16-8950_1ex3d1.htm
Vertex Pharmaceuticals Incorporated	http://www.sec.gov/Archives/edgar/data/875320/000087532016000070/ex-31_q12016.htm
Exelon Corporation 	http://www.sec.gov/Archives/edgar/data/1109357/000119312516569844/d160977dex31.htm
Expeditors International of Washington, Inc.	http://www.sec.gov/Archives/edgar/data/746515/000074651516000067/ex32-20160503bylawamendment.htm

Brunswick Corporation 	http://www.sec.gov/Archives/edgar/data/14930/000001493016000212/bc20160402ex31amendedby-la.htm
